Timestamp,BTC Price,ETH Price,Gold Price,BTC Trend,ETH Trend,Gold Trend
2026-01-19 23:28:29,93106,3217.17,4655.3
2026-01-19 23:29:52,93118,3217.73,4677.10009765625,UP,UP,UP
2026-01-19 23:30:22,93118,3217.73,4676.60009765625,UP,UP,UP
2026-01-19 23:30:53,93119,3217.43,4676.89990234375,UP,UP,UP
2026-01-19 23:31:24,93119,3217.43,4677.60009765625,UP,UP,UP
2026-01-19 23:31:54,93119,3216.7,4676.7998046875,UP,DOWN,UP
2026-01-19 23:32:25,93119,3216.7,4676.2998046875,UP,DOWN,DOWN
2026-01-19 23:32:55,93144,3217.19,4676.7998046875,UP,DOWN,DOWN
2026-01-19 23:33:26,93144,3217.19,4676.7998046875,UP,UP,DOWN
2026-01-19 23:33:56,93173,3218.35,4677.39990234375,UP,UP,UP
